Livello 1;Livello 2;Livello 3;Livello 4;;;;
(Base);(iniziale);(intermedio);(Avanzato);;;;
i___;__i_;___i;_i_i;;;;
i_i_;i__i;__ii;_ii_;;;;
i___ i___;ii__;i_ii;_iii;;;;
i_i_ i___;iiii;ii_i;_i__;;;;
i_i_ i_i_;i__i __i_;iii_;_i_i _i_i;;;;
i___ i_i_;iiii ii__;___i __ii;_i_i _ii_;;;;
____ i___;iiii iiii;__ii __ii;_i_i _iii;;;;
____ i_i_;__i_ __i_;i_ii __ii;_iii _iii;;;;
;ii__ ii__;i_ii i_ii;i___ _i_i;;;;
;i___ iiii;ii_i __ii;i___ _iii;;;;
;i_i_ iiii;ii_i i_ii;i_i_ _i_i;;;;
;i_i_ i__i;ii_i ii_i;i_i_ _iii;;;;
;iiii i___;iii_ __ii;i_i_ _i__;;;;
;iiii i_i_;iii_ i_ii;_i_i i_i_;;;;
;____ __i_;iii_ ii_i;_iii i___;;;;
;____ i__i;iii_ iii_;_iii i_i_;;;;
;____ ii__;i___ __ii;_i__ i___;;;;
;____ iiii;i___ i_ii;__i_ _i_i;;;;
;__i_ i__i;i___ ii_i;__i_ _iii;;;;
;__i_ ii__;i___ iii_;i__i _i_i;;;;
;__i_ iiii;i_i_ __ii;i__i _iii;;;;
;i__i i__i;i_i_ i_ii;ii__ _i_i;;;;
;i__i ii__;i_i_ ii_i;ii__ _ii_;;;;
;i__i iiii;i_i_ iii_;ii__ _iii;;;;
;ii__ __i_;___i i___;iiii _i_i;;;;
;ii__ i__i;___i i_i_;iiii _ii_;;;;
;ii__ iiii;__ii i___;iiii _iii;;;;
;iiii __i_;__ii i_i_;_i_i __i_;;;;
;iiii i__i;i_ii i___;_iii __i_;;;;
;i___ ii__;i_ii i_i_;_iii ii__;;;;
;i___ __i_;ii_i i___;_iii iiii;;;;
;i___ i__i;ii_i i_i_;_i__ iiii;;;;
;i_i_ ii__;iii_ i___;___i _ii_;;;;
;i_i_ __i_;iii_ i_i_;___i _iii;;;;
;__i_ i___;__i_ __ii;__ii _ii_;;;;
;__i_ i_i_;___i i_ii;__ii _iii;;;;
;i__i i___;__i_ ii_i;i_ii _i_i;;;;
;i__i i_i_;__i_ iii_;i_ii _ii_;;;;
;ii__ i___;i__i ___i;i_ii _iii;;;;
;ii__ i_i_;i__i __ii;ii_i _i_i;;;;
;;i__i i_ii;ii_i _ii_;;;;
;;ii__ __ii;ii_i _iii;;;;
;;ii__ i_ii;iii_ _iii;;;;
;;ii__ ii_i;_i_i __ii;;;;
;;ii__ iii_;_i_i i_ii;;;;
;;iiii __ii;_i_i ii_i;;;;
;;iiii i_ii;_i_i iii_;;;;
;;___i __i_;_ii_ __ii;;;;
;;__ii __i_;_ii_ i_ii;;;;
;;i_ii __i_;_iii ___i;;;;
;;ii_i __i_;_iii __ii;;;;
;;iii_ __i_;_iii i_ii;;;;
;;____ ___i;_iii ii_i;;;;
;;____ __ii;_iii iii_;;;;
;;____ i_ii;_i__ __ii;;;;
;;____ ii_i;_i__ i_ii;;;;
;;____ iii_;_i__ iii_;;;;
;;___i ___i;____ _i_i;;;;
;;___i i_ii;____ _ii_;;;;
;;___i ii_i;____ _iii;;;;
;;___i iii_;____ _i__;;;;
;;__ii i_ii;_i_i _i__;;;;
;;__ii ii_i;_ii_ _i_i;;;;
;;__ii iii_;_ii_ _ii_;;;;
;;i_ii ___i;_ii_ _iii;;;;
;;i_ii ii_i;_ii_ _i__;;;;
;;i_ii iii_;_iii _i_i;;;;
;;ii_i ___i;_iii _ii_;;;;
;;ii_i __ii;_iii _i__;;;;
;;ii_i iii_;_i__ _i_i;;;;
;;iii_ ___i;_i__ _ii_;;;;
;;i___ ___i;_i__ _iii;;;;
;;i_i_ ___i;_i__ _i__;;;;
;;__i_ ___i;i___ _ii_;;;;
;;i__i ii_i;i___ _i__;;;;
;;i__i iii_;i_i_ _ii_;;;;
;;ii__ ___i;_i_i i___;;;;
;;iiii ___i;_ii_ i___;;;;
;;iiii ii_i;_ii_ i_i_;;;;
;;iiii iii_;_i__ i_i_;;;;
;;___i i__i;__i_ _ii_;;;;
;;___i ii__;__i_ _i__;;;;
;;___i iiii;i__i _ii_;;;;
;;__ii i__i;i__i _i__;;;;
;;__ii ii__;ii__ _i__;;;;
;;__ii iiii;iiii _i__;;;;
;;i_ii i__i;_i_i i__i;;;;
;;i_ii ii__;_i_i ii__;;;;
;;i_ii iiii;_i_i iiii;;;;
;;ii_i i__i;_ii_ __i_;;;;
;;ii_i ii__;_ii_ i__i;;;;
;;ii_i iiii;_ii_ ii__;;;;
;;iii_ i__i;_ii_ iiii;;;;
;;iii_ ii__;_iii i__i;;;;
;;iii_ iiii;_i__ __i_;;;;
;;;_i__ i__i;;;;
;;;_i__ ii__;;;;
;;;___i _i_i;;;;
;;;___i _i__;;;;
;;;__ii _i_i;;;;
;;;__ii _i__;;;;
;;;i_ii _i__;;;;
;;;ii_i _i__;;;;
;;;iii_ _i_i;;;;
;;;iii_ _ii_;;;;
;;;iii_ _i__;;;;
;;;_i_i ___i;;;;
;;;_ii_ ___i;;;;
;;;_ii_ ii_i;;;;
;;;_ii_ iii_;;;;
;;;_i__ ___i;;;;
;;;_i__ ii_i;;;;
